,symbol
ENSG00000236266,ENSG00000236266
ENSG00000133226,SRRM1
ENSG00000238142,ENSG00000238142
ENSG00000142794,NBPF3
ENSG00000272106,ENSG00000272106
ENSG00000116350,SRSF4
ENSG00000097021,ACOT7
ENSG00000173436,MICOS10
ENSG00000176092,CRYBG2
ENSG00000219481,NBPF1
ENSG00000186827,TNFRSF4
ENSG00000188157,AGRN
ENSG00000159339,PADI4
ENSG00000189409,MMP23B
ENSG00000173614,NMNAT1
ENSG00000131697,NPHP4
ENSG00000049249,TNFRSF9
ENSG00000158286,RNF207
ENSG00000049246,PER3
ENSG00000162413,KLHL21
ENSG00000116151,MORN1
ENSG00000187608,ISG15
ENSG00000048707,VPS13D
ENSG00000117682,DHDDS
ENSG00000132906,CASP9
ENSG00000171612,SLC25A33
ENSG00000117298,ECE1
ENSG00000236423,LINC01134
ENSG00000116661,FBXO2
ENSG00000271989,ENSG00000271989
ENSG00000116198,CEP104
ENSG00000134644,PUM1
ENSG00000175087,PDIK1L
ENSG00000188976,NOC2L
ENSG00000142583,SLC2A5
ENSG00000130772,MED18
ENSG00000067606,PRKCZ
ENSG00000040487,SLC66A1
ENSG00000162543,UBXN10
ENSG00000186056,MATN1-AS1
ENSG00000116663,FBXO6
ENSG00000162461,SLC25A34
ENSG00000184163,C1QTNF12
ENSG00000159363,ATP13A2
ENSG00000116691,MIIP
ENSG00000171729,TMEM51
ENSG00000116670,MAD2L2
ENSG00000011021,CLCN6
ENSG00000142784,WDTC1
ENSG00000188822,CNR2
ENSG00000204160,ZDHHC18
ENSG00000116273,PHF13
ENSG00000215915,ATAD3C
ENSG00000130939,UBE4B
ENSG00000157873,TNFRSF14
ENSG00000162490,DRAXIN
ENSG00000065526,SPEN
ENSG00000236810,ELOA-AS1
ENSG00000215790,SLC35E2A
ENSG00000117305,HMGCL
ENSG00000162512,SDC3
ENSG00000158246,TENT5B
ENSG00000198492,YTHDF2
ENSG00000228172,ENSG00000228172
ENSG00000157978,LDLRAP1
ENSG00000078369,GNB1
ENSG00000028137,TNFRSF1B
ENSG00000162517,PEF1
ENSG00000238164,TNFRSF14-AS1
ENSG00000162430,SELENON
ENSG00000198793,MTOR
ENSG00000001461,NIPAL3
ENSG00000142657,PGD
ENSG00000057757,PITHD1
ENSG00000008130,NADK
ENSG00000197989,SNHG12
ENSG00000009780,FAM76A
ENSG00000261326,LINC01355
ENSG00000078808,SDF4
ENSG00000176022,B3GALT6
ENSG00000168528,SERINC2
ENSG00000120948,TARDBP
ENSG00000169598,DFFB
ENSG00000158062,UBXN11
ENSG00000228140,EFHD2-AS1
ENSG00000037637,FBXO42
ENSG00000020633,RUNX3
ENSG00000130695,CEP85
ENSG00000231050,GNB1-DT
ENSG00000142675,CNKSR1
ENSG00000142611,PRDM16
ENSG00000158195,WASF2
ENSG00000053371,AKR7A2
ENSG00000171603,CLSTN1
ENSG00000090273,NUDC
ENSG00000186891,TNFRSF18
ENSG00000272455,MRPL20-DT
ENSG00000058453,CROCC
ENSG00000169403,PTAFR
ENSG00000162542,TMCO4
ENSG00000158156,XKR8
ENSG00000142733,MAP3K6
ENSG00000070831,CDC42
ENSG00000271746,ENSG00000271746
ENSG00000159423,ALDH4A1
ENSG00000248333,CDK11B
ENSG00000215788,TNFRSF25
ENSG00000178821,TMEM52
ENSG00000090432,MUL1
ENSG00000179743,SPEN-AS1
ENSG00000198830,HMGN2
ENSG00000237429,ENSG00000237429
ENSG00000242485,MRPL20
ENSG00000049245,VAMP3
ENSG00000116786,PLEKHM2
ENSG00000158109,TPRG1L
ENSG00000175707,KDF1
ENSG00000116285,ERRFI1
ENSG00000162496,DHRS3
ENSG00000188529,SRSF10
ENSG00000088280,ASAP3
ENSG00000158292,GPR153
ENSG00000117751,PPP1R8
ENSG00000120656,TAF12
ENSG00000157881,PANK4
ENSG00000162511,LAPTM5
ENSG00000116251,RPL22
ENSG00000162572,SCNN1D
ENSG00000253368,TRNP1
ENSG00000270605,ENSG00000270605
ENSG00000186501,TMEM222
ENSG00000187144,SPATA21
ENSG00000226029,LINC01772
ENSG00000127463,EMC1
ENSG00000230679,ENO1-AS1
ENSG00000117242,PINK1-AS
ENSG00000162419,GMEB1
ENSG00000264443,ENSG00000264443
ENSG00000117318,ID3
ENSG00000197530,MIB2
ENSG00000260063,ENSG00000260063
ENSG00000130766,SESN2
ENSG00000117614,SYF2
ENSG00000116731,PRDM2
ENSG00000127483,HP1BP3
ENSG00000117676,RPS6KA1
ENSG00000169962,TAS1R3
ENSG00000011009,LYPLA2
ENSG00000171824,EXOSC10
ENSG00000187017,ESPN
ENSG00000233954,UQCRHL
ENSG00000158828,PINK1
ENSG00000224051,CPTP
ENSG00000116688,MFN2
ENSG00000055070,SZRD1
ENSG00000131591,C1orf159
ENSG00000181773,GPR3
ENSG00000221978,CCNL2
ENSG00000008128,CDK11A
ENSG00000083444,PLOD1
ENSG00000149527,PLCH2
ENSG00000158747,NBL1
ENSG00000126705,AHDC1
ENSG00000162438,CTRC
ENSG00000188290,HES4
ENSG00000159189,C1QC
ENSG00000116649,SRM
ENSG00000116771,AGMAT
ENSG00000230424,EMC1-AS1
ENSG00000158006,PAFAH2
ENSG00000162441,LZIC
ENSG00000198912,C1orf174
ENSG00000188672,RHCE
ENSG00000272449,ENSG00000272449
ENSG00000117308,GALE
ENSG00000162444,RBP7
ENSG00000238260,ENSG00000238260
ENSG00000177674,AGTRAP
ENSG00000142634,EFHD2
ENSG00000127423,AUNIP
ENSG00000185436,IFNLR1
ENSG00000157191,NECAP2
ENSG00000049239,H6PD
ENSG00000130940,CASZ1
ENSG00000198746,GPATCH3
ENSG00000197880,MDS2
ENSG00000204138,PHACTR4
ENSG00000183726,TMEM50A
ENSG00000175756,AURKAIP1
ENSG00000131584,ACAP3
ENSG00000231105,ECE1-AS1
ENSG00000041988,THAP3
ENSG00000074964,ARHGEF10L
ENSG00000173372,C1QA
ENSG00000130768,SMPDL3B
ENSG00000120942,UBIAD1
ENSG00000157870,PRXL2B
ENSG00000204178,MACO1
ENSG00000116213,WRAP73
ENSG00000157916,RER1
ENSG00000237436,CAMTA1-DT
ENSG00000261135,ENSG00000261135
ENSG00000116237,ICMT
ENSG00000007968,E2F2
ENSG00000130764,LRRC47
ENSG00000130770,ATP5IF1
ENSG00000236528,ENSG00000236528
ENSG00000175279,CENPS
ENSG00000117602,RCAN3
ENSG00000142684,ZNF593
ENSG00000270103,ENSG00000270103
ENSG00000242349,ENSG00000242349
ENSG00000184677,ZBTB40
ENSG00000235169,SMIM1
ENSG00000116138,DNAJC16
ENSG00000060688,SNRNP40
ENSG00000169641,LUZP1
ENSG00000228037,ENSG00000228037
ENSG00000157933,SKI
ENSG00000215912,TTC34
ENSG00000158825,CDA
ENSG00000171680,PLEKHG5
ENSG00000272426,ENSG00000272426
ENSG00000117748,RPA2
ENSG00000162591,MEGF6
ENSG00000107404,DVL1
ENSG00000169442,CD52
ENSG00000228397,LINC01635
ENSG00000236782,ZNF593OS
ENSG00000162510,MATN1
ENSG00000178585,CTNNBIP1
ENSG00000142751,GPN2
ENSG00000117713,ARID1A
ENSG00000007923,DNAJC11
ENSG00000171735,CAMTA1
ENSG00000244038,DDOST
ENSG00000075151,EIF4G3
ENSG00000264078,ENSG00000264078
ENSG00000231789,PIK3CD-AS2
ENSG00000237491,LINC01409
ENSG00000171608,PIK3CD
ENSG00000049247,UTS2
ENSG00000090686,USP48
ENSG00000125944,HNRNPR
ENSG00000142655,PEX14
ENSG00000162408,NOL9
ENSG00000162571,TTLL10
ENSG00000215014,ENSG00000215014
ENSG00000187942,LDLRAD2
ENSG00000117758,STX12
ENSG00000197312,DDI2
ENSG00000189266,PNRC2
ENSG00000179840,PIK3CD-AS1
ENSG00000189339,SLC35E2B
ENSG00000182873,PRKCZ-AS1
ENSG00000116288,PARK7
ENSG00000158161,EYA3
ENSG00000125945,ZNF436
ENSG00000182749,PAQR7
ENSG00000251503,CENPS-CORT
ENSG00000229388,TAF12-DT
ENSG00000054523,KIF1B
ENSG00000225880,LINC00115
